word,coefficient,abs_coef
streak,0.5569513547502396,0.5569513547502396
salvat,0.5565578128553027,0.5565578128553027
fli,0.5565346911909183,0.5565346911909183
carri,0.5555310322136967,0.5555310322136967
slow,0.5522023423516288,0.5522023423516288
runway,0.5519981928848926,0.5519981928848926
sympathi,0.55175750160629,0.55175750160629
break,0.5508878748319825,0.5508878748319825
studi,0.5498178463615268,0.5498178463615268
bit,0.5488731617183397,0.5488731617183397
brake,0.5473554160973392,0.5473554160973392
true,0.5466423360223622,0.5466423360223622
nbcnew,0.5457291325718505,0.5457291325718505
clear,0.54536830401926,0.54536830401926
today,0.5452960968919386,0.5452960968919386
state,0.5442040975628557,0.5442040975628557
messag,0.544160511913012,0.544160511913012
lab,0.5436961471253277,0.5436961471253277
curb,0.5434773458480131,0.5434773458480131
basic,0.5434741567894346,0.5434741567894346
numm,0.5433767893966324,0.5433767893966324
cancer,0.5424798086494298,0.5424798086494298
bicyclist,0.5423967033411538,0.5423967033411538
pick,0.5414722346136892,0.5414722346136892
mark,0.5413435553762874,0.5413435553762874
simpli,0.5405597743814144,0.5405597743814144
roosevelt,0.5402731779913628,0.5402731779913628
engag,0.5400264251589288,0.5400264251589288
shelter,0.5391100868094866,0.5391100868094866
nation,0.5383408695775216,0.5383408695775216
hella,0.5370681281613343,0.5370681281613343
ap,0.5358834415595257,0.5358834415595257
encourag,0.5354311601153168,0.5354311601153168
worth,0.5328234913885724,0.5328234913885724
manchest,0.5327876383360257,0.5327876383360257
miss,0.5325973552145603,0.5325973552145603
powerlin,0.5324014247787537,0.5324014247787537
lightn,0.5323407367468155,0.5323407367468155
indian,0.5300102900334678,0.5300102900334678
mo,0.5296313339817702,0.5296313339817702
receiv,0.5290852965452189,0.5290852965452189
ipod,0.5287642672365006,0.5287642672365006
alli,0.5274100325935464,0.5274100325935464
morn,0.52681092098504,0.52681092098504
edward,0.5264644428627321,0.5264644428627321
tension,0.5243439594082402,0.5243439594082402
newyork,0.523800782939413,0.523800782939413
downtown,0.5235784984141341,0.5235784984141341
neighborhood,0.5232604707721968,0.5232604707721968
done,0.5232241334542377,0.5232241334542377
shut,0.5231884576296592,0.5231884576296592
record,0.5220022635009977,0.5220022635009977
commit,0.5214735775984537,0.5214735775984537
dude,0.5212998387293081,0.5212998387293081
socialnew,0.519946649345519,0.519946649345519
canyon,0.5195615088176185,0.5195615088176185
sen,0.518844026281581,0.518844026281581
serial,0.518815986770146,0.518815986770146
